para_id,para_mon,except_dep
399002,2017-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399002,2017-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399002,2017-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399002,2017-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399002,2018-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399002,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2014-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2014-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2014-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2014-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2015-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2015-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2015-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2015-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2016-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2016-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2016-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2016-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2017-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2017-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2017-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2017-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2018-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2014-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2014-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2014-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2014-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2015-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2015-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2015-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2015-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2016-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2016-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2016-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2016-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2017-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2017-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2017-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2017-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2018-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2014-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2014-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2014-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2014-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2015-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2015-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2015-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2015-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2016-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2016-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2016-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2016-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2017-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2017-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2017-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2017-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2018-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399006,2014-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399006,2014-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399006,2014-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399006,2014-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399006,2015-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399006,2015-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
